Sl_No,Product_Name,Units,Category ,Coles_Price,Woolworths_Price
1,Eco 10 Large Free Range Eggs,550g,Fridge,6.9,6.95
2,Perfect Italiano Perfect Bakes 3 Cheeses,450g,Fridge,7.79,7.65
3,A2 Full Cream Milk,2L,Fridge,4.79,5
4,Flora Pro-activ Spread Original,250g,Fridge,4.5,4.5
5,South Cape Apricot & Almond Cream Cheese,200g,Fridge,4.29,3.75
6,Mainland Cheese and Crackers,50g,Fridge,2.99,2.5
7,Antoniou Fillo Pastry,375g,Fridge,3.79,4
8,Vaalia Apricot Mango & Peach Yoghurt Low Fat,900g,Fridge,5.5,3.8
9,Babybel Mini Light Tasty Cheese Portions,100g,Fridge,4.2,4.8
10,Golden Pikelets Bite Size,16pack,Bakery,3.99,3
11,Rice Mountain Bread,200g,Bakery,4,4
12,Mission Round Pizza Bases Garlic,200g,Bakery,3.99,4.2
13,Dollar Sweets Cake Decoration Fairy Toppings,145g,Bakery,6.25,6
14,Vitasoy Chocolate Milk,1L,Bakery,2.79,2.8
15,Wonder Wraps Hi Fibre,6pack,Bakery,3.5,4
16,Mission Wraps Roasted Garlic,8pack,Bakery,5,2.5
17,Toscano Waffles,4pack,Bakery,5.29,5.5
18,Golden Pancakes,360g,Bakery,5,5
19,3 Colour Traffic Light Capsicums,3pack,Fruit & Vegetables,7.9,7.9
20,Fresh Blueberries,230g,Fruit & Vegetables,3,5.5
21,Cherry Tomatoes,250g,Fruit & Vegetables,2.5,3.5
22,Cucumber Lebanese Mini Punnet,1each,Fruit & Vegetables,2.5,4
23,Peas Sugar Snap,150g,Fruit & Vegetables,2,3.5
24,Tomato Truss,500g,Fruit & Vegetables,4.9,4.9
25,Kiwi Fruit Green,1each,Fruit & Vegetables,0.3,0.71
26,Corn Cobbettes,425g,Fruit & Vegetables,3.97,3.9
27,Royal Gala Apple,1kg,Fruit & Vegetables,5.5,4.5
28,San Remo Linguine Pasta No 1,500g,Pantry,1.94,1.95
29,Harris Filter Papers 10-12 Cup,40pack,Pantry,2.2,2.2
30,Ayam Instant Noodles 10 Cakes,700g,Pantry,4.62,4.45
31,Natvia Sweetener Tablets 100% Natural,200pack,Pantry,8.46,7.7
32,Nudie 100% Apple Juice,2L,Pantry,7,5.5
33,Kitkat Original Funpack 11 Piece,185g,Pantry,4.59,3
34,Zafarelli Fettuccine Pasta No 12,500g,Pantry,1.5,1.5
35,Maggi 2 Minute Instant Noodles Chicken,5pack,Pantry,3.95,3
36,Sunrice Steamed Rice Basmati 2 Quick Cups,240g,Pantry,2.5,2
37,Nescafe Blend 43 Instant Coffee,50g,Pantry,5,5
38,Nanna's Apple Crumble,550g,Freezer,4,4
39,Bulla Mini Frozen Yoghurt Assorted Flavours,14pack,Freezer,6.75,5
40,Mccain Pizza Pocket Cheese & Bacon,4pack,Freezer,7.5,7.5
41,Mccain Pizza Cheese & Bacon,500g,Freezer,7.15,3.25
42,Weis Frozen Yoghurt Vanilla Bean,1L,Freezer,8.8,8
43,Birds Eye Corn Cobs Super Sweet,1kg,Freezer,5,5
44,Blue Ribbon Ice Cream Vanilla,2L,Freezer,4.9,4.9
45,Magnum Mini Ice Cream Almond,6pack,Freezer,8.5,8.5
46,Avent Translucent Soother 0-6 Months,2pack,"BABY, HEALTH & BEAUTY",12.25,12.5
47,Rimmel Bb Cream 001 Light,30ml,"BABY, HEALTH & BEAUTY",13.94,14
48,Rimmel Soft Kohl Kajal Eye Pencil 061 Jet Black,1g,"BABY, HEALTH & BEAUTY",8.94,9
49,Optrex Actimist 2 In 1 Eye Spray Dry,10ml,"BABY, HEALTH & BEAUTY",20,20
50,Cenovis Vitamin D3 1000iu Tablets,200pack,"BABY, HEALTH & BEAUTY",13,9.8
